0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:13 -0800] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:14 -0800] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:14 -0800] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:34:15 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [01/Jan/2010:01:43:22 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [01/Jan/2010:01:43:23 -0800] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - admin-script [01/Jan/2010:01:43:34 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:43:34 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:43:34 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:43:34 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:43:34 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:43:34 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:43:34 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:43:41 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:43:41 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin-script [01/Jan/2010:01:43:41 -0800] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - admin-script [01/Jan/2010:01:43:41 -0800] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - - [01/Jan/2010:01:45:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:45:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:45:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:45:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:45:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:45:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:49 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:49 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:49 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:49 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:49 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin-script [01/Jan/2010:01:46:50 -0800] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - admin-script [01/Jan/2010:01:46:50 -0800] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - admin-script [01/Jan/2010:01:46:51 -0800] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FVISHAL%7E1%2FAppData%2FLocal%2FTemp%2Fcontext4797963068795744085.xml&path=/e-Farming HTTP/1.1" 200 67
127.0.0.1 - admin-script [01/Jan/2010:01:46:51 -0800] "GET /manager/text/start?path=/e-Farming HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:46:52 -0800] "GET /e-Farming HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:46:52 -0800] "GET /e-Farming/ HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [01/Jan/2010:01:46:53 -0800] "GET /e-Farming/images/tractor-385681_1920.jpg HTTP/1.1" 200 1118057
127.0.0.1 - - [01/Jan/2010:01:46:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [01/Jan/2010:01:46:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin-script [01/Jan/2010:01:46:55 -0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin-script [01/Jan/2010:01:46:55 -0800] "GET /manager/text/list HTTP/1.1" 200 296
127.0.0.1 - admin-script [01/Jan/2010:01:46:55 -0800] "GET /manager/text/reload?path=/e-Farming HTTP/1.1" 200 67
127.0.0.1 - - [01/Jan/2010:01:46:55 -0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
